"","scenario_run","run","total"
"1","run1",1,261.096152311755
"2","run1",2,169.556250157431
"3","run1",3,173.528524795796
"4","run1",4,204.767304730263
"5","run1",5,217.060134638572
"6","run1",6,147.8824243097
"7","run1",7,189.578962824152
"8","run1",8,190.785775876012
"9","run1",9,235.989480019813
"10","run1",10,232.700496475055
"11","run1",11,185.184149008662
"12","run1",12,210.940826863454
"13","run1",13,178.098294206577
"14","run1",14,223.14330574056
"15","run1",15,264.794951110235
"16","run1",16,213.774929213527
"17","run1",17,141.155079280585
"18","run1",18,258.778852712239
"19","run1",19,156.669547975371
"20","run1",20,178.595866953186
"21","run1",21,217.487798517659
"22","run1",22,174.607752766101
"23","run1",23,219.653460928828
"24","run1",24,193.102555814364
"25","run1",25,216.799973902961
"26","run1",26,192.577799212684
"27","run1",27,282.415684267952
"28","run1",28,162.485413385101
"29","run1",29,186.382420832496
"30","run1",30,262.450941268594
"31","run1",31,195.663665819487
"32","run1",32,189.684852550564
"33","run1",33,261.161061591504
"34","run1",34,197.042589836698
"35","run1",35,189.688732135472
"36","run1",36,213.503018142388
"37","run1",37,221.609706276546
"38","run1",38,212.178596452211
"39","run1",39,249.072783139662
"40","run1",40,152.833544107128
"41","run1",41,239.23378623612
"42","run1",42,149.206846538924
"43","run1",43,178.883013868509
"44","run1",44,219.63428815847
"45","run1",45,177.697776391064
"46","run1",46,170.64430366399
"47","run1",47,159.283322219053
"48","run1",48,215.988410299891
"49","run1",49,243.803957752377
"50","run1",50,186.697606267679
"51","run1",51,186.870948794893
"52","run1",52,165.202637922226
"53","run1",53,211.774937722841
"54","run1",54,210.792249490938
"55","run1",55,262.489563910877
"56","run1",56,164.517614554471
"57","run1",57,194.707113440645
"58","run1",58,190.569910935887
"59","run1",59,173.997079976759
"60","run1",60,189.856836790814
"61","run1",61,293.209759654039
"62","run1",62,199.626052609411
"63","run1",63,195.645040244995
"64","run1",64,189.523140615992
"65","run1",65,228.690545594102
"66","run1",66,216.021391143056
"67","run1",67,229.305291485164
"68","run1",68,168.564762735013
"69","run1",69,187.248002335085
"70","run1",70,169.872756118945
"71","run1",71,222.55828587231
"72","run1",72,184.604458658639
"73","run1",73,165.873083543717
"74","run1",74,207.217846379508
"75","run1",75,212.872006299934
"76","run1",76,225.135470117037
"77","run1",77,195.410574692503
"78","run1",78,199.48072402587
"79","run1",79,219.095470249717
"80","run1",80,190.97737878968
"81","run1",81,160.529285150845
"82","run1",82,149.06014963652
"83","run1",83,160.440271924783
"84","run1",84,194.316568785446
"85","run1",85,165.31989474558
"86","run1",86,221.646637809533
"87","run1",87,160.109516105995
"88","run1",88,223.1844643624
"89","run1",89,226.84132686921
"90","run1",90,200.498567717919
"91","run1",91,180.847222685513
"92","run1",92,197.438910209412
"93","run1",93,177.401610187155
"94","run1",94,190.341614299802
"95","run1",95,201.356693101706
"96","run1",96,138.134562699407
"97","run1",97,226.512069971272
"98","run1",98,212.093636646206
"99","run1",99,227.716016607757
"100","run1",100,264.862014266452
"101","run2",1,259.921883187886
"102","run2",2,168.156294660668
"103","run2",3,172.305639851524
"104","run2",4,203.773387782848
"105","run2",5,214.70671307239
"106","run2",6,145.983840936357
"107","run2",7,189.438721305019
"108","run2",8,188.739637238274
"109","run2",9,234.928700051378
"110","run2",10,231.653238850554
"111","run2",11,184.278640866738
"112","run2",12,209.903335486905
"113","run2",13,177.422391205057
"114","run2",14,222.21647964939
"115","run2",15,264.479126056689
"116","run2",16,212.092325658308
"117","run2",17,139.501463262174
"118","run2",18,256.879608747619
"119","run2",19,155.169265629746
"120","run2",20,175.634400549552
"121","run2",21,216.381187912297
"122","run2",22,172.929330664431
"123","run2",23,218.63015924474
"124","run2",24,191.891779369556
"125","run2",25,215.009478834454
"126","run2",26,190.367271823643
"127","run2",27,281.092540544858
"128","run2",28,160.265520372201
"129","run2",29,185.978323752688
"130","run2",30,261.940165313006
"131","run2",31,194.840433725419
"132","run2",32,188.721675206354
"133","run2",33,259.891506523145
"134","run2",34,195.478957863706
"135","run2",35,187.137386944037
"136","run2",36,212.654642261054
"137","run2",37,221.315767594292
"138","run2",38,211.146732794497
"139","run2",39,247.611070466011
"140","run2",40,150.099647864357
"141","run2",41,238.592960743171
"142","run2",42,146.853794995073
"143","run2",43,176.722782567074
"144","run2",44,218.275491416837
"145","run2",45,176.955060687982
"146","run2",46,168.580963898743
"147","run2",47,157.281899899135
"148","run2",48,213.997556320827
"149","run2",49,240.122243632428
"150","run2",50,185.466246240439
"151","run2",51,185.223622958534
"152","run2",52,162.586603326272
"153","run2",53,211.141562498995
"154","run2",54,208.881473883296
"155","run2",55,261.387970620859
"156","run2",56,163.02847169593
"157","run2",57,193.948043104878
"158","run2",58,189.386327887813
"159","run2",59,173.062599333338
"160","run2",60,188.952809952351
"161","run2",61,291.403757886591
"162","run2",62,198.84157439231
"163","run2",63,193.532488573131
"164","run2",64,187.03575655718
"165","run2",65,226.808148068773
"166","run2",66,214.540007636389
"167","run2",67,228.821631965077
"168","run2",68,166.4649123808
"169","run2",69,185.323789022818
"170","run2",70,168.268702927851
"171","run2",71,220.472205398567
"172","run2",72,183.323754548282
"173","run2",73,163.56862867698
"174","run2",74,205.596458666073
"175","run2",75,212.505886733894
"176","run2",76,223.102128341974
"177","run2",77,193.927943373346
"178","run2",78,198.39981996854
"179","run2",79,216.975787840897
"180","run2",80,189.450589255539
"181","run2",81,158.984735276014
"182","run2",82,147.876122065389
"183","run2",83,159.044671548947
"184","run2",84,192.413627307144
"185","run2",85,164.730161915392
"186","run2",86,220.28674028934
"187","run2",87,158.733579046724
"188","run2",88,222.015415087909
"189","run2",89,225.717384669634
"190","run2",90,199.632802961791
"191","run2",91,179.836952833598
"192","run2",92,195.75363365974
"193","run2",93,176.362445279005
"194","run2",94,188.137697111698
"195","run2",95,200.046358621027
"196","run2",96,137.314361758402
"197","run2",97,224.257671180716
"198","run2",98,209.194488640129
"199","run2",99,225.791331817012
"200","run2",100,263.429122288284
"201","run3",1,252.705771700536
"202","run3",2,164.802273490655
"203","run3",3,169.582023364781
"204","run3",4,201.688746609089
"205","run3",5,208.478724666322
"206","run3",6,136.915042612852
"207","run3",7,186.29043489299
"208","run3",8,179.874020755188
"209","run3",9,231.406285089354
"210","run3",10,229.112115813244
"211","run3",11,180.966139956923
"212","run3",12,204.90043237687
"213","run3",13,174.294706616626
"214","run3",14,219.993857823266
"215","run3",15,264.766659509753
"216","run3",16,206.875449349749
"217","run3",17,133.222723824141
"218","run3",18,250.906669923126
"219","run3",19,149.616960755127
"220","run3",20,164.909679040769
"221","run3",21,213.177819879428
"222","run3",22,166.690802374326
"223","run3",23,214.468272964743
"224","run3",24,186.443900348641
"225","run3",25,206.661462058792
"226","run3",26,184.002571170481
"227","run3",27,275.745761854694
"228","run3",28,149.186653293786
"229","run3",29,184.498758079883
"230","run3",30,261.295514010633
"231","run3",31,191.499232112371
"232","run3",32,183.280769182334
"233","run3",33,255.047176442581
"234","run3",34,189.542597246067
"235","run3",35,175.367788061083
"236","run3",36,210.627150038642
"237","run3",37,220.383316789535
"238","run3",38,207.369412501805
"239","run3",39,245.034747461327
"240","run3",40,134.324847656655
"241","run3",41,236.884528306838
"242","run3",42,139.862321772462
"243","run3",43,169.454200619523
"244","run3",44,214.419577429737
"245","run3",45,173.897618096843
"246","run3",46,159.243475973545
"247","run3",47,150.73461579166
"248","run3",48,207.4143240326
"249","run3",49,229.52021056635
"250","run3",50,178.161796789188
"251","run3",51,179.813359627628
"252","run3",52,150.430782723095
"253","run3",53,207.962845408811
"254","run3",54,203.14866391346
"255","run3",55,258.511188449237
"256","run3",56,156.049232233916
"257","run3",57,192.853445350783
"258","run3",58,185.570943894303
"259","run3",59,171.110118638944
"260","run3",60,184.30268476975
"261","run3",61,287.590573056832
"262","run3",62,196.388949097185
"263","run3",63,187.865565704593
"264","run3",64,176.020487622779
"265","run3",65,221.835260835982
"266","run3",66,209.698144691197
"267","run3",67,227.639375440849
"268","run3",68,159.624914079522
"269","run3",69,176.101637932845
"270","run3",70,161.891778240782
"271","run3",71,214.174839191085
"272","run3",72,174.066703692231
"273","run3",73,153.378344979108
"274","run3",74,201.426485464376
"275","run3",75,211.419306587265
"276","run3",76,215.020392276362
"277","run3",77,188.683112122703
"278","run3",78,193.320208109415
"279","run3",79,207.210294098569
"280","run3",80,185.185016051767
"281","run3",81,153.425562301076
"282","run3",82,142.536045529386
"283","run3",83,154.572293441738
"284","run3",84,185.413372248385
"285","run3",85,162.445949086421
"286","run3",86,216.026290102195
"287","run3",87,154.510010562261
"288","run3",88,218.941820211227
"289","run3",89,219.390064002647
"290","run3",90,197.065785853442
"291","run3",91,174.941722155347
"292","run3",92,188.255281248133
"293","run3",93,172.986332295355
"294","run3",94,179.554711747038
"295","run3",95,195.958681012634
"296","run3",96,132.39735476324
"297","run3",97,213.832488927471
"298","run3",98,194.217827732869
"299","run3",99,216.607447580007
"300","run3",100,259.754458447607
"301","run4",1,251.716233459904
"302","run4",2,163.818948583627
"303","run4",3,168.428645020578
"304","run4",4,201.096887102614
"305","run4",5,206.859224044431
"306","run4",6,135.035703542588
"307","run4",7,185.722586472585
"308","run4",8,177.261137186613
"309","run4",9,230.87971734313
"310","run4",10,228.519353372522
"311","run4",11,180.526421223265
"312","run4",12,204.484077293477
"313","run4",13,174.052107109719
"314","run4",14,219.491155118887
"315","run4",15,264.743587818584
"316","run4",16,205.582094695593
"317","run4",17,131.899517704866
"318","run4",18,249.428794443379
"319","run4",19,148.226970833129
"320","run4",20,162.671505592239
"321","run4",21,212.51266351936
"322","run4",22,165.75153550322
"323","run4",23,213.54287812173
"324","run4",24,184.50564814561
"325","run4",25,204.848434922077
"326","run4",26,182.685739675432
"327","run4",27,274.557669902011
"328","run4",28,147.31252057896
"329","run4",29,184.112309024902
"330","run4",30,260.905537798463
"331","run4",31,190.887800180161
"332","run4",32,181.860522687143
"333","run4",33,254.182017947318
"334","run4",34,188.880575303507
"335","run4",35,172.930229819201
"336","run4",36,210.18715307786
"337","run4",37,220.260069121029
"338","run4",38,207.198272039304
"339","run4",39,244.03389411361
"340","run4",40,132.268894699958
"341","run4",41,236.357470797415
"342","run4",42,138.486395319817
"343","run4",43,167.945499440178
"344","run4",44,212.992047556655
"345","run4",45,172.762957659023
"346","run4",46,156.699431522104
"347","run4",47,149.187738725554
"348","run4",48,206.225209752057
"349","run4",49,226.550665793786
"350","run4",50,176.58278322945
"351","run4",51,178.561528278979
"352","run4",52,148.835690706422
"353","run4",53,207.287188063944
"354","run4",54,201.684683626557
"355","run4",55,258.154483572551
"356","run4",56,154.469228694457
"357","run4",57,192.528269151672
"358","run4",58,184.315538855847
"359","run4",59,170.711378079131
"360","run4",60,183.429359121402
"361","run4",61,286.446553330655
"362","run4",62,196.008172885613
"363","run4",63,186.478032340373
"364","run4",64,173.36048572019
"365","run4",65,220.127455882753
"366","run4",66,208.726782711239
"367","run4",67,227.383365220215
"368","run4",68,158.376186623908
"369","run4",69,174.067688276942
"370","run4",70,159.750004631307
"371","run4",71,212.947893675839
"372","run4",72,172.716782198427
"373","run4",73,151.067379323122
"374","run4",74,199.471794887024
"375","run4",75,211.244431501346
"376","run4",76,213.200632361976
"377","run4",77,187.777633318368
"378","run4",78,192.016872470405
"379","run4",79,205.390096910874
"380","run4",80,184.169465589464
"381","run4",81,151.697094297162
"382","run4",82,141.209372470661
"383","run4",83,153.400312905136
"384","run4",84,184.419292006957
"385","run4",85,162.126405857119
"386","run4",86,215.108705325212
"387","run4",87,153.647353103877
"388","run4",88,218.521364890332
"389","run4",89,217.893335378802
"390","run4",90,196.496653097307
"391","run4",91,173.866373313375
"392","run4",92,187.124438421246
"393","run4",93,172.300784368942
"394","run4",94,178.197544180155
"395","run4",95,194.624761667022
"396","run4",96,131.247915202748
"397","run4",97,211.472096526698
"398","run4",98,190.166076691284
"399","run4",99,214.638000945752
"400","run4",100,258.750731455146
"401","run5",1,197.330048596587
"402","run5",2,131.783484027338
"403","run5",3,134.076493465998
"404","run5",4,159.858404278991
"405","run5",5,135.509108407862
"406","run5",6,96.6589867874485
"407","run5",7,166.042678892695
"408","run5",8,133.006666842877
"409","run5",9,173.560789559456
"410","run5",10,184.54915299152
"411","run5",11,136.807215282133
"412","run5",12,175.507081204844
"413","run5",13,157.553883008857
"414","run5",14,181.07758667756
"415","run5",15,213.395443141317
"416","run5",16,151.988138318486
"417","run5",17,106.141253207643
"418","run5",18,188.80766478811
"419","run5",19,119.206399024385
"420","run5",20,130.210255240707
"421","run5",21,156.190976855198
"422","run5",22,134.348626960031
"423","run5",23,171.50416535743
"424","run5",24,158.006168653296
"425","run5",25,147.642288567874
"426","run5",26,131.323582704869
"427","run5",27,212.841724257498
"428","run5",28,112.950026327166
"429","run5",29,164.725246123406
"430","run5",30,226.183031508324
"431","run5",31,171.318346327935
"432","run5",32,149.056365242546
"433","run5",33,187.183029763768
"434","run5",34,138.117364392896
"435","run5",35,124.437607490607
"436","run5",36,178.821690308256
"437","run5",37,193.221761642683
"438","run5",38,162.080477734321
"439","run5",39,158.849997115371
"440","run5",40,109.04282687721
"441","run5",41,212.012676156757
"442","run5",42,103.150773570361
"443","run5",43,135.500836219414
"444","run5",44,159.634434149414
"445","run5",45,150.183201643735
"446","run5",46,117.516326626439
"447","run5",47,126.245611306024
"448","run5",48,150.95173685027
"449","run5",49,165.333121845898
"450","run5",50,147.418793494298
"451","run5",51,141.623110991777
"452","run5",52,116.657556042342
"453","run5",53,182.05739259662
"454","run5",54,152.699765326357
"455","run5",55,181.562316211639
"456","run5",56,123.242956955174
"457","run5",57,163.248676869098
"458","run5",58,142.205560540084
"459","run5",59,130.473857308401
"460","run5",60,155.097327024874
"461","run5",61,189.797096417342
"462","run5",62,179.476533712258
"463","run5",63,138.400056438683
"464","run5",64,133.487004170793
"465","run5",65,168.654838107214
"466","run5",66,167.826951051054
"467","run5",67,188.694271711258
"468","run5",68,107.928359272467
"469","run5",69,123.626245457318
"470","run5",70,119.446156623285
"471","run5",71,177.473177740112
"472","run5",72,136.785294226772
"473","run5",73,112.986748799504
"474","run5",74,148.140019428127
"475","run5",75,194.852046038392
"476","run5",76,154.126315806222
"477","run5",77,161.038908812369
"478","run5",78,161.267778524432
"479","run5",79,133.415096897726
"480","run5",80,151.887182404104
"481","run5",81,124.957785368519
"482","run5",82,108.418133913178
"483","run5",83,131.120972672234
"484","run5",84,140.213918667533
"485","run5",85,143.089065839352
"486","run5",86,171.586578778534
"487","run5",87,127.033429528877
"488","run5",88,179.999290824559
"489","run5",89,179.703990396908
"490","run5",90,148.24205554168
"491","run5",91,147.049084950017
"492","run5",92,155.403514557492
"493","run5",93,143.405932286038
"494","run5",94,142.120834291913
"495","run5",95,165.150222627505
"496","run5",96,112.48059121853
"497","run5",97,158.407203465527
"498","run5",98,124.711127958417
"499","run5",99,152.655805979251
"500","run5",100,199.491099250726
"501","run6",1,186.772683237102
"502","run6",2,134.466021232029
"503","run6",3,132.963602495898
"504","run6",4,150.997765206895
"505","run6",5,155.874791934699
"506","run6",6,90.6562949185703
"507","run6",7,135.984949327927
"508","run6",8,134.269001012149
"509","run6",9,180.312731599237
"510","run6",10,184.081594770219
"511","run6",11,137.864793847636
"512","run6",12,163.057481595147
"513","run6",13,138.05046802954
"514","run6",14,181.921620253852
"515","run6",15,221.814157344338
"516","run6",16,141.210078556264
"517","run6",17,89.8743778308454
"518","run6",18,189.229699284511
"519","run6",19,112.587963453917
"520","run6",20,121.650129664269
"521","run6",21,161.43145857081
"522","run6",22,131.092615091635
"523","run6",23,145.437564471447
"524","run6",24,136.741848594474
"525","run6",25,155.900574679347
"526","run6",26,144.494683820872
"527","run6",27,222.910198017508
"528","run6",28,105.635552093266
"529","run6",29,150.211555706405
"530","run6",30,206.994512907524
"531","run6",31,145.435531469879
"532","run6",32,130.006814095466
"533","run6",33,205.237715128072
"534","run6",34,141.068823807592
"535","run6",35,116.263915437555
"536","run6",36,173.614617131006
"537","run6",37,177.00298214677
"538","run6",38,166.887036086865
"539","run6",39,183.573200851204
"540","run6",40,87.5973914440898
"541","run6",41,185.443963612131
"542","run6",42,105.327477309429
"543","run6",43,120.619825317605
"544","run6",44,156.260355146733
"545","run6",45,128.663228132272
"546","run6",46,114.563363960378
"547","run6",47,113.929431203431
"548","run6",48,151.119462161757
"549","run6",49,177.998457379941
"550","run6",50,128.852394068468
"551","run6",51,138.701422086609
"552","run6",52,102.865304873761
"553","run6",53,169.838254808958
"554","run6",54,159.692187796373
"555","run6",55,193.849250286783
"556","run6",56,121.348313076098
"557","run6",57,154.90702200741
"558","run6",58,147.28070989189
"559","run6",59,129.514044444835
"560","run6",60,139.195151048941
"561","run6",61,182.493166706707
"562","run6",62,161.314879962724
"563","run6",63,128.685803606875
"564","run6",64,119.948077376602
"565","run6",65,158.230537557095
"566","run6",66,166.79194135375
"567","run6",67,174.665045656132
"568","run6",68,112.536385755169
"569","run6",69,119.488750466278
"570","run6",70,119.811184559538
"571","run6",71,165.80860514135
"572","run6",72,116.164753537285
"573","run6",73,112.760138343954
"574","run6",74,148.39954097508
"575","run6",75,182.044462349863
"576","run6",76,159.731754026235
"577","run6",77,150.938882209438
"578","run6",78,136.56390610098
"579","run6",79,146.773300607175
"580","run6",80,140.185083541196
"581","run6",81,109.351989314083
"582","run6",82,101.460163535866
"583","run6",83,118.893742726843
"584","run6",84,134.977882445602
"585","run6",85,123.611652760891
"586","run6",86,165.11525978677
"587","run6",87,116.252044232822
"588","run6",88,179.739722615194
"589","run6",89,164.605809580319
"590","run6",90,148.760848808982
"591","run6",91,130.525888542055
"592","run6",92,155.669930452137
"593","run6",93,143.53988145079
"594","run6",94,132.733378311505
"595","run6",95,161.158926384439
"596","run6",96,94.8719373727707
"597","run6",97,162.609704587081
"598","run6",98,121.774046802565
"599","run6",99,157.26956589058
"600","run6",100,199.564953061674
"601","run7",1,173.357553082168
"602","run7",2,121.599077874075
"603","run7",3,123.25852688351
"604","run7",4,151.960837336162
"605","run7",5,117.798906471275
"606","run7",6,73.5178572296237
"607","run7",7,152.664928209765
"608","run7",8,109.679240296916
"609","run7",9,164.132258741136
"610","run7",10,175.181972778156
"611","run7",11,128.870617944198
"612","run7",12,161.2794527744
"613","run7",13,147.745566694216
"614","run7",14,173.629518722389
"615","run7",15,212.698283509657
"616","run7",16,132.989465330872
"617","run7",17,85.7996235252066
"618","run7",18,170.192886165792
"619","run7",19,102.925602362047
"620","run7",20,93.4581697036962
"621","run7",21,146.420399898638
"622","run7",22,117.553584685885
"623","run7",23,156.084536898253
"624","run7",24,134.342977995245
"625","run7",25,128.390164482805
"626","run7",26,115.349503968683
"627","run7",27,201.027856892325
"628","run7",28,83.5719714010815
"629","run7",29,159.521890430363
"630","run7",30,221.209137530644
"631","run7",31,156.244863442655
"632","run7",32,130.881755118616
"633","run7",33,176.170688467615
"634","run7",34,122.147628172101
"635","run7",35,94.3270426385562
"636","run7",36,171.470829238844
"637","run7",37,190.43352330844
"638","run7",38,153.184174908547
"639","run7",39,145.393124941599
"640","run7",40,73.5897016548182
"641","run7",41,204.964261701711
"642","run7",42,84.1507839977415
"643","run7",43,111.316674189976
"644","run7",44,145.678071794094
"645","run7",45,137.78548924414
"646","run7",46,91.8172246065879
"647","run7",47,100.755330940103
"648","run7",48,131.337814489992
"649","run7",49,132.195326843039
"650","run7",50,120.724352475578
"651","run7",51,123.818369864865
"652","run7",52,84.0406652644167
"653","run7",53,171.738189412037
"654","run7",54,138.465282783496
"655","run7",55,172.857416343671
"656","run7",56,106.271515162811
"657","run7",57,158.115223675315
"658","run7",58,129.235034500646
"659","run7",59,123.617289730918
"660","run7",60,139.727740875047
"661","run7",61,174.081421391993
"662","run7",62,166.858536208424
"663","run7",63,119.313931414735
"664","run7",64,103.793261894652
"665","run7",65,147.485847041396
"666","run7",66,152.383569495055
"667","run7",67,184.358187356053
"668","run7",68,88.435153661862
"669","run7",69,101.573175978834
"670","run7",70,101.313412617502
"671","run7",71,156.569164890732
"672","run7",72,110.64561185153
"673","run7",73,89.4370071847261
"674","run7",74,132.276349620254
"675","run7",75,191.003768643819
"676","run7",76,135.257750120759
"677","run7",77,146.037930473631
"678","run7",78,143.629720506147
"679","run7",79,111.473607815955
"680","run7",80,137.161743151962
"681","run7",81,110.512465083026
"682","run7",82,96.8943853560599
"683","run7",83,114.947828112912
"684","run7",84,122.621991159841
"685","run7",85,134.575054574549
"686","run7",86,157.77728901287
"687","run7",87,114.598251963527
"688","run7",88,170.182793565651
"689","run7",89,158.991506953686
"690","run7",90,141.706264201333
"691","run7",91,129.699453794537
"692","run7",92,140.233713792749
"693","run7",93,133.144056570718
"694","run7",94,117.331265103629
"695","run7",95,152.575386711418
"696","run7",96,97.0348323009813
"697","run7",97,131.753727814302
"698","run7",98,87.1121952058632
"699","run7",99,131.328364771657
"700","run7",100,187.34584550397
